Title,Rating,Genre,Cast
Renfield,72.0%,"Horror, Comedy, Fantasy","Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz, Shohreh Aghdashloo, Brandon Scott Jones, Adrian Martinez, Camille Chen, Bess Rous"
JUNG_E,63.0%,Science Fiction,"Kang Soo-youn, Kim Hyun-joo, Ryu Kyung-soo, Uhm Ji-won, Lee Dong-hee, Han Woo-yeol, Lee Ga-kyung, Shin Min-jae, Kim Sun-hyuk"
Legion of Super-Heroes,63.0%,"Animation, Action, Science Fiction","Meg Donnelly, Harry Shum Jr., Darren Criss, Jensen Ackles, Matt Bomer, Cynthia Hamidi, Yuri Lowenthal, Gideon Adlon, Ely Henry"
Sniper: The White Raven,75.0%,"War, Action, Drama","Pavlo Aldoshyn, Maryna Koshkina, Andrii Mostrenko, Roman Semysal, Roman Yasinovskyi, Oleh Shulha, Yehor Kozlov, Yevhen Chernykov, Vadym Kurylko"
Troll,67.0%,"Fantasy, Action, Adventure, Thriller","Ine Marie Wilmann, Kim S. Falck-Jørgensen, Mads Sjøgård Pettersen, Gard B. Eidsvold, Anneke von der Lippe, Dennis Storhøi, Karoline Viktoria Sletteng Garvang, Yusuf Toosh Ibra, Ameli Olving Sælevik"
Transformers: Rise of the Beasts,0%,"Action, Adventure, Science Fiction","Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez, Tobe Nwigwe, Peter Cullen, Ron Perlman, Peter Dinklage, Michelle Yeoh"
Ip Man: The Awakening,56.0%,"Action, Adventure, History, Drama","Tse Miu, Chen Guanying, Sergio De Ieso, Hou Tongjiang, Gu Lei"
Jurassic World Dominion,69.0%,"Adventure, Action, Science Fiction","Chris Pratt, Bryce Dallas Howard, Laura Dern, Jeff Goldblum, Sam Neill, DeWanda Wise, Mamoudou Athie, Isabella Sermon, Campbell Scott"
Prey,78.0%,"Thriller, Action, Science Fiction","Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope, Dane DiLiegro, Stefany Mathias, Bennett Taylor, Mike Paterson"
3-D Sex and Zen: Extreme Ecstasy,48.0%,"Drama, Adventure, Romance, Action, History","Saori Hara, Yukiko Suo, Tony Ho, Vonnie Lui, Leni Lan, Hiro Hayama, Carina Chan, Jason Yiu, Tenky Tin Kai-Man"
Sonic the Hedgehog 2,76.0%,"Action, Adventure, Family, Comedy","James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Shemar Moore, Colleen O'Shaughnessey, Lee Majdoub, Idris Elba"
Prey for the Devil,71.0%,"Horror, Thriller","Jacqueline Byers, Colin Salmon, Christian Navarro, Lisa Palfrey, Nicholas Ralph, Ben Cross, Virginia Madsen, Tom Forbes, Velizar Binev"
To Every You I've Loved Before,69.0%,"Animation, Romance, Science Fiction","Hio Miyazawa, Ai Hashimoto, Kimiko Yo, Maki Mizuno, Tokuma Nishioka"
"To Me, the One Who Loved You",57.0%,"Animation, Romance, Science Fiction","Hio Miyazawa, Aju Makita, Ai Hashimoto, Kimiko Yo, Maki Mizuno, Tokuma Nishioka"
Doctor Strange in the Multiverse of Madness,74.0%,"Fantasy, Action, Adventure","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Jett Klyne, Julian Hilliard, Sheila Atim, Adam Hugill"
Avengers: Infinity War,83.0%,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Don Cheadle"
Gold Run,67.0%,"War, Action, Adventure, Thriller","Jon Øigarden, Ida Elise Broch, Sven Nordin, Eivind Sander, Axel Bøyum, Morten Svartveit, Anatole Taubman, Thorbjørn Harr, Gard B. Eidsvold"
Transfusion,64.0%,Crime,"Sam Worthington, Matt Nable, Phoebe Tonkin, Edward Carmody, Susie Porter, Jeremy Lindsay Taylor, Sam Parsonson, Sam Cotton, George Houvardas"
Die Hart,61.0%,"Action, Comedy, Thriller","Kevin Hart, John Travolta, Nathalie Emmanuel, Jean Reno, Josh Hartnett, Kenneth Trujillo, Joshua Lamboy, Brandon Quinn, Milana Vayntrub"
Invitation to a Murder,62.0%,"Mystery, Thriller","Mischa Barton, Chris Browning, Seamus Dever, Bianca A. Santos, Giles Matthey, Grace Lynn Kung, Amy Sloan, Alex Hyde-White, Rae Gray"
Evil Dead,65.0%,Horror,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore, Phoenix Connolly, Jim McLarty, Sian Davis, Stephen Butterworth"
John Wick: Chapter 3 - Parabellum,74.0%,"Action, Thriller, Crime","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Anjelica Huston, Tobias Segal"
Roald Dahl's Matilda the Musical,68.0%,"Family, Comedy, Fantasy","Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham, Andrea Riseborough, Sindhu Vee, Charlie Hodson-Prior, Meesha Garbett, Rei Yamauchi Fulker"
R.I.P.D. 2: Rise of the Damned,66.0%,"Action, Comedy, Fantasy, Crime","Jeffrey Donovan, Penelope Mitchell, Richard Brake, Kerry Knuppe, Jake Choi, Richard Fleeshman, Craige Els, Tilly Keeper, Nóra Trokán"
